UserAgent,Page Views
BBCNews/3.9.3.14 CFNetwork/758.5.3 Darwin/15.6.0,"64,379,448"
BBCNews/3.7.1.8 CFNetwork/758.5.3 Darwin/15.6.0,"4,626,721"
BBCNews/3.9.3.14 CFNetwork/758.4.3 Darwin/15.5.0,"4,442,068"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920F Build/MMB29K),"3,158,774"
BBCNews/3.9.1.48 CFNetwork/758.5.3 Darwin/15.6.0,"2,324,670"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900F Build/MMB29M),"2,001,106"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G935F Build/MMB29K),"1,580,528"
BBCNews/3.9.3.14 CFNetwork/758.2.8 Darwin/15.0.0,"1,426,369"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930F Build/MMB29K),"1,349,066"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G925F Build/MMB29K),"1,227,034"
BBCNews/3.9.3.14 CFNetwork/758.3.15 Darwin/15.4.0,"1,062,404"
BBCNews/3.9.3.14 CFNetwork/672.1.15 Darwin/14.0.0,"1,044,043"
BBCNews/3.9.3.14 CFNetwork/711.3.18 Darwin/14.0.0,"1,022,544"
BBCNews/3.7.1.8 CFNetwork/758.4.3 Darwin/15.5.0,"1,002,947"
BBCBeacon/0.74b (KFTT; Android 4.0.3) news/2.5.3 UK,"988,016"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A300FU Build/LRX22G),"916,403"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9505 Build/LRX22C),"849,297"
BBCNews/3.9.3.14 CFNetwork/711.1.16 Darwin/14.0.0,"752,634"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J500FN Build/LMY48B),"747,404"
BBCNews/3.9.3.14 CFNetwork/711.5.6 Darwin/14.0.0,"738,271"
BBCNews/3.9.3.14 CFNetwork/711.4.6 Darwin/14.0.0,"703,147"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910F Build/MMB29M),"608,124"
Dalvik/2.1.0 (Linux; U; Android 6.0; HTC One_M8 Build/MRA58K),"606,494"
BBCNews/3.4.1.2 CFNetwork/758.5.3 Darwin/15.6.0,"574,638"
BBCBeacon/0.74b (KFFOWI; Android 5.1.1) news/2.5.3 UK,"531,373"
BBCNews/3.9.3.14 CFNetwork/808.0.2 Darwin/16.0.0,"516,877"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; D5803 Build/23.5.A.1.291),"499,425"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9195 Build/KOT49H),"485,996"
BBCBeacon/0.74b (KFTHWI; Android 4.4.3) news/2.5.3 UK,"485,926"
Dalvik/2.1.0 (Linux; U; Android 6.0; MotoG3 Build/MPI24.65-33),"461,027"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 5 Build/MOB30Y),"441,344"
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N9005 Build/LRX21V),"419,202"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 7 Build/MOB30X),"405,229"
BBCBeacon/0.74b (KFSOWI; Android 4.4.3) news/2.5.3 UK,"399,496"
Dalvik/2.1.0 (Linux; U; Android 5.1; Hudl 2 Build/LMY47I),"395,297"
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900F Build/LRX21T),"387,293"
BBCNews/3.9.3.14 CFNetwork/758.1.6 Darwin/15.0.0,"376,233"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G800F Build/LMY47X),"375,176"
